year,players,positions,height,weight,team,nationality
2020,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2020,Khris Middleton,Khris Middleton,6-8,222,Milwaukee Bucks,United States
2020,Donovan Mitchell,Donovan Mitchell,6-3,215,Utah Jazz,United States
2020,Pascal Siakam,Pascal Siakam,6-9,230,Toronto Raptors,Cameroon
2020,Kemba Walker,Kemba Walker,6-0,184,Boston Celtics,United States
2020,Trae Young,Trae Young,6-1,180,Atlanta Hawks,United States
2021,Bradley Beal,Bradley Beal,6-3,207,Washington Wizards,United States
2021,Devin Booker,Devin Booker,6-6,206,Phoenix Suns,United States
2021,Mike Conley,Mike Conley,6-1,175,Utah Jazz,United States
2021,Kevin Durant,Kevin Durant,6-10,225,Brooklyn Nets,United States
2021,Joel Embiid,Joel Embiid,7-0,280,Philadelphia Sixers,Cameroon
2021,James Harden,James Harden,6-5,220,Brooklyn Nets,United States
2021,Kyrie Irving,Kyrie Irving,6-2,195,Brooklyn Nets,United StatesAustralia
2021,Zach LaVine,Zach LaVine,6-5,202,Chicago Bulls,United States
2021,Kawhi Leonard,Kawhi Leonard,6-7,225,Los Angeles Clippers,United States
2021,Donovan Mitchell,Donovan Mitchell,6-3,215,Utah Jazz,United States
2021,Julius Randle,Julius Randle,6-9,250,New York Knicks,United States
2021,Jayson Tatum,Jayson Tatum,6-8,210,Boston Celtics,United States
2021,Nikola Vucevic,Nikola Vucevic,7-0,260,Orlando Magic,SwitzerlandMontenegro
2021,Zion Williamson,Zion Williamson,6-6,284,New Orleans Pelicans,United States
2021,Giannis Antetokounmpo,Giannis Antetokounmpo,6-11,242,Milwaukee Bucks,GreeceNigeria
2021,Jaylen Brown,Jaylen Brown,6-6,220,Boston Celtics,United States
2021,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2021,Anthony Davis,Anthony Davis,6-10,253,Los Angeles Lakers,United States
2021,Luka Doncic,Luka Doncic,6-7,230,Dallas Mavericks,Slovenia
2021,Paul George,Paul George,6-8,220,Los Angeles Clippers,United States
2021,Rudy Gobert,Rudy Gobert,7-1,245,Utah Jazz,France
2021,LeBron James,LeBron James,6-8,250,Los Angeles Lakers,United States
2021,Nikola Jokic,Nikola Jokic,7-0,284,Denver Nuggets,Serbia
2021,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2021,Chris Paul,Chris Paul,6-0,175,Phoenix Suns,United States
2021,Domantas Sabonis,Domantas Sabonis,6-11,240,Indiana Pacers,United StatesLithuania
2021,Ben Simmons,Ben Simmons,6-10,240,Philadelphia Sixers,Australia
