year,players,positions,height,weight,team,nationality
2010,Paul Pierce,Paul Pierce,6-7,235,Boston Celtics,United States
2010,Rajon Rondo,Rajon Rondo,6-1,180,Boston Celtics,United States
2010,Derrick Rose,Derrick Rose,6-3,200,Chicago Bulls,United States
2010,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2010,Gerald Wallace,Gerald Wallace,6-7,220,Charlotte Bobcats,United States
2011,Carmelo Anthony,Carmelo Anthony,6-8,240,Denver Nuggets,United States
2011,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2011,Tim Duncan,Tim Duncan,6-11,250,San Antonio Spurs,United States
2011,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2011,Pau Gasol,Pau Gasol,7-0,250,Los Angeles Lakers,Spain
2011,Manu Ginobili,Manu Ginobili,6-6,205,San Antonio Spurs,Argentina
2011,Blake Griffin,Blake Griffin,6-9,246,Los Angeles Clippers,United States
2011,Kevin Love,Kevin Love,6-8,247,Minnesota Timberwolves,United States
2011,Yao Ming,Yao Ming,7-6,310,Houston Rockets,China
2011,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2011,Chris Paul,Chris Paul,6-0,175,New Orleans Hornets,United States
2011,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2011,Deron Williams,Deron Williams,6-3,200,Utah Jazz,United States
2011,Ray Allen,Ray Allen,6-5,205,Boston Celtics,United States
2011,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2011,Kevin Garnett,Kevin Garnett,6-11,240,Boston Celtics,United States
2011,Al Horford,Al Horford,6-9,240,Atlanta Hawks,Dominican RepublicUnited States
2011,Dwight Howard,Dwight Howard,6-11,265,Orlando Magic,United States
2011,LeBron James,LeBron James,6-8,250,Miami Heat,United States
2011,Joe Johnson,Joe Johnson,6-7,240,Atlanta Hawks,United States
2011,Paul Pierce,Paul Pierce,6-7,235,Boston Celtics,United States
2011,Rajon Rondo,Rajon Rondo,6-1,180,Boston Celtics,United States
2011,Derrick Rose,Derrick Rose,6-3,200,Chicago Bulls,United States
2011,Amar'e Stoudemire,Amar'e Stoudemire,6-10,245,New York Knicks,United States
2011,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2012,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2012,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2012,Luol Deng,Luol Deng,6-9,220,Chicago Bulls,EnglandSouth Sudan
2012,Roy Hibbert,Roy Hibbert,7-2,270,Indiana Pacers,United States
2012,Dwight Howard,Dwight Howard,6-11,265,Orlando Magic,United States
2012,Andre Iguodala,Andre Iguodala,6-6,215,Philadelphia Sixers,United States
2012,LeBron James,LeBron James,6-8,250,Miami Heat,United States
2012,Joe Johnson,Joe Johnson,6-7,240,Atlanta Hawks,United States
2012,Paul Pierce,Paul Pierce,6-7,235,Boston Celtics,United States
2012,Rajon Rondo,Rajon Rondo,6-1,180,Boston Celtics,United States
2012,Derrick Rose,Derrick Rose,6-3,200,Chicago Bulls,United States
2012,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2012,Deron Williams,Deron Williams,6-3,200,New Jersey Nets,United States
2012,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,Portland Trail Blazers,United States
2012,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2012,Andrew Bynum,Andrew Bynum,7-0,285,Los Angeles Lakers,United States
2012,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2012,Marc Gasol,Marc Gasol,7-1,255,Memphis Grizzlies,Spain
2012,Blake Griffin,Blake Griffin,6-9,246,Los Angeles Clippers,United States
2012,Kevin Love,Kevin Love,6-8,247,Minnesota Timberwolves,United States
2012,Steve Nash,Steve Nash,6-3,178,Phoenix Suns,CanadaSouth Africa
2012,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2012,Tony Parker,Tony Parker,6-2,185,San Antonio Spurs,France
2012,Chris Paul,Chris Paul,6-0,175,Los Angeles Clippers,United States
2012,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2013,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,Portland Trail Blazers,United States
2013,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2013,Tim Duncan,Tim Duncan,6-11,250,San Antonio Spurs,United States
2013,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2013,Blake Griffin,Blake Griffin,6-9,246,Los Angeles Clippers,United States
2013,James Harden,James Harden,6-5,220,Houston Rockets,United States
2013,Dwight Howard,Dwight Howard,6-11,265,Los Angeles Lakers,United States
2013,David Lee,David Lee,6-9,245,Golden State Warriors,United States
2013,Tony Parker,Tony Parker,6-2,185,San Antonio Spurs,France
2013,Chris Paul,Chris Paul,6-0,175,Los Angeles Clippers,United States
2013,Zach Randolph,Zach Randolph,6-9,260,Memphis Grizzlies,United States
2013,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2013,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2013,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2013,Tyson Chandler,Tyson Chandler,7-1,240,New York Knicks,United States
2013,Luol Deng,Luol Deng,6-9,220,Chicago Bulls,EnglandSouth Sudan
2013,Kevin Garnett,Kevin Garnett,6-11,240,Boston Celtics,United States
2013,Paul George,Paul George,6-8,220,Indiana Pacers,United States
2013,Jrue Holiday,Jrue Holiday,6-4,205,Philadelphia Sixers,United States
2013,Kyrie Irving,Kyrie Irving,6-2,195,Cleveland Cavaliers,United StatesAustralia
2013,LeBron James,LeBron James,6-8,250,Miami Heat,United States
2013,Brook Lopez,Brook Lopez,7-0,270,Brooklyn Nets,United States
2013,Joakim Noah,Joakim Noah,6-11,230,Chicago Bulls,FranceUnited States
2013,Rajon Rondo,Rajon Rondo,6-1,180,Boston Celtics,United States
2013,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2014,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,Portland Trail Blazers,United States
2014,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2014,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2014,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2014,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2014,Blake Griffin,Blake Griffin,6-9,246,Los Angeles Clippers,United States
2014,James Harden,James Harden,6-5,220,Houston Rockets,United States
2014,Dwight Howard,Dwight Howard,6-11,265,Houston Rockets,United States
2014,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2014,Kevin Love,Kevin Love,6-8,247,Minnesota Timberwolves,United States
2014,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2014,Tony Parker,Tony Parker,6-2,185,San Antonio Spurs,France
2014,Chris Paul,Chris Paul,6-0,175,Los Angeles Clippers,United States
2014,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2014,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2014,DeMar DeRozan,DeMar DeRozan,6-6,220,Toronto Raptors,United States
2014,Paul George,Paul George,6-8,220,Indiana Pacers,United States
2014,Roy Hibbert,Roy Hibbert,7-2,270,Indiana Pacers,United States
2014,Kyrie Irving,Kyrie Irving,6-2,195,Cleveland Cavaliers,United StatesAustralia
2014,LeBron James,LeBron James,6-8,250,Miami Heat,United States
2014,Joe Johnson,Joe Johnson,6-7,240,Brooklyn Nets,United States
2014,Paul Millsap,Paul Millsap,6-7,250,Atlanta Hawks,United States
2014,Joakim Noah,Joakim Noah,6-11,230,Chicago Bulls,FranceUnited States
2014,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2014,John Wall,John Wall,6-4,210,Washington Wizards,United States
2015,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2015,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2015,Jimmy Butler,Jimmy Butler,6-8,232,Chicago Bulls,United States
2015,Pau Gasol,Pau Gasol,7-0,250,Chicago Bulls,Spain
2015,Al Horford,Al Horford,6-9,240,Atlanta Hawks,Dominican RepublicUnited States
2015,Kyrie Irving,Kyrie Irving,6-2,195,Cleveland Cavaliers,United StatesAustralia
2015,LeBron James,LeBron James,6-8,250,Cleveland Cavaliers,United States
2015,Kyle Korver,Kyle Korver,6-7,212,Atlanta Hawks,United States
2015,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2015,Paul Millsap,Paul Millsap,6-7,250,Atlanta Hawks,United States
2015,Jeff Teague,Jeff Teague,6-3,195,Atlanta Hawks,United States
2015,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2015,John Wall,John Wall,6-4,210,Washington Wizards,United States
2015,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,Portland Trail Blazers,United States
2015,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2015,DeMarcus Cousins,DeMarcus Cousins,6-11,270,Sacramento Kings,United States
2015,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2015,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2015,Tim Duncan,Tim Duncan,6-11,250,San Antonio Spurs,United States
2015,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2015,Marc Gasol,Marc Gasol,7-1,255,Memphis Grizzlies,Spain
2015,Blake Griffin,Blake Griffin,6-9,246,Los Angeles Clippers,United States
2015,James Harden,James Harden,6-5,220,Houston Rockets,United States
2015,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2015,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2015,Chris Paul,Chris Paul,6-0,175,Los Angeles Clippers,United States
2015,Klay Thompson,Klay Thompson,6-6,215,Golden State Warriors,United States
