college,colors
Colgate Raidersaka Colgate Red Raiders,#821019
College Football Playoff,#000000
College of Charleston Cougarsaka Charleston Cougars,#76232F
Colonial Athletic Associationaka CAA,#002469
Colorado A&M Aggies,#006A4D
Colorado,#000000
Colorado Christian Cougars,#00416B
Colorado College Tigers,#000000
Colorado Mesa Mavericks,#5D0022
Colorado Mines Orediggers,#21314D
Colorado State,#006A4D
Colorado–Colorado Springs Mountain Lionsaka UCCS Mountain Lions,#000000
Columbia Cougars,#002855
Columbia Fighting Koalas,#582C83
Columbia University,#99CAEA
Columbus State Cougars,#003359
Concord Mountain Lionsaka Concord Lady Lions,#862633
Concordia Bulldogs,#002855
Concordia Cardinals,#C8102E
Concordia Cavaliers,#003E7E
Concordia Clippersaka Concordia Lady Clippers,#001489
Concordia Cobbersaka Concordia Moorhead Cobbersaka Concordia (Moorhead) Cobbers,#7D0042
Concordia Cougars,#9D2235
Concordia Eagles,#215732
Concordia Falconsaka Concordia Wisconsin Falcons,#005596
Concordia Golden Bears,#002F65
Concordia Tornadosaka Concordia Stags,#582C83
Conference USAaka C-USA,#003865
Connecticut College Camels,#002F5F
UConn,#000E2F
Converse Valkyriesaka Converse All–Stars,#3C1053
Coppin State Eagles,#003056
Corban Warriors,#041E42
Cornell Big Red,#B31B1B
Cornell Rams,#523178
Cornerstone Golden Eaglesaka Cornerstone Comets,#13294B
Cortland Red Dragonsaka Cortland State Red Dragons,#B91000
Cottey Comets,#3A5DAE
Cotton Bowl Classic,#263764
Covenant Fighting Scotsaka Covenant Lady Scots,#003DA5
Creighton,#00235D
Crowley's Ridge Pioneers,#115740
Crown Stormaka Crown Royal Crusaders,#3C1053
Culinary Institute of America Steels,#22693a
Culver–Stockton Wildcatsaka Culver-Stockton Wildcats,#003594
Cumberland Phoenixaka Cumberland Bulldogs,#98002E
Cumberlands Patriotsaka Cumberlands Indiansaka Cumberlands Lady Indiansaka Cumberlands Redhounds,#BA0C2F
Curry Colonels,#462c8d
D'Youville Saintsaka D'Youville Spartans,#B02424
Daemen Wildcatsaka Daemen Warriorsaka Daemen Demonsaka Daemen Golden Warriors aka Rosary Hill Angels,#0000FF
Dakota State Trojansaka Dakota State Lady T's,#003B5C
Dakota Wesleyan Tigers,#004C97
Dallas Baptist Patriots,#0B1F2C
Dallas Crusaders,#003A70
Dalton State Roadrunners,#00263A
Dartmouth College,#00693E
Davenport Panthers,#D5160C
Davidson,#000000
Davis & Elkins Senatorsaka Davis and Elkins Senators,#C8102E
Davis Falconsaka Davis Lacy Swordsmenaka Davis Swordsmen,#5F249F
Dayton,#002F87
De La Salle Green Archers,#00703C
DePaul,#054696
DePauw Tigers,#111C24
DeSales Bulldogsaka DeSales Centaurs,#BA0C2F
Dean Bulldogsaka Dean Red Demons,#862633
Defiance Yellow Jacketsaka Defiance Lady Jackets,#512D6D
Delaware Fightin' Blue Hens,#00539F
Delaware State Hornets,#EE3124
Delaware Valley Aggies,#215732
Delta State Statesmenaka Delta State Lady Statesmen,#00753E
Denison Big Red,#A6192E
Denver,#8B2332
Detroit Mercy Titansaka Detroit Titans,#A6093D
Dickenson Red Devils,#DA291C
Dickenson State Blue Hawksaka Dickenson State Blue Chicks,#002D72
Dillard Bleu Devilsaka Dillard Lady Bleu Devilsaka Dillard Lady Blue Devilsaka Dillard Blue Devils,#003594
District of Columbia Firebirdsaka DC Lady Firebirdsaka DC Greenwaveaka District of Columbia Lady Firebirds,#76232F
Dixie State Trailblazers,#BA1C21
Doane Tigers,#FF7900
Dominican Chargers,#010101
Dominican Penguinsaka Dominican Hounds,#000000
Dominican Starsaka Dominican Rebels,#002855
Dort Defenders,#010101
Drake Bulldogs,#003B73
Drew Rangers,#0C2340
Drexel Dragons,#07294D
Drury Panthers,#E31837
Dubuque Spartans,#002D72
Duke,#013088
Duquesne,#041E42
ECAC Hockey,#005189
Earlham Quakers,#861F41
East Carolina Pirates,#582C83
East Central Tigers,#000000
East Stroudsburg Warriors,#DB0436
East Tennessee State Buccaneersaka East Tennessee State Lady Buccaneers,#041E42
East Texas Baptist Tigers,#081f2c
Eastern Arizona Gila Monsters,#340265
Eastern Illinois University,#003399
Eastern Kentucky Colonels,#4C151E
Eastern Michigan Eaglesaka Eastern Michigan Hurons,#046A38
Eastern New Mexico Greyhounds,#006633
Eastern Washington Eagles,#A10022
Edinboro Fighting Scots,#BB131A
Elmira Soaring Eagles,#3f1e6b
Elon Phoenix,#73000A
Embry–Riddle Eaglesaka Embry-Riddle Eagles,#00549A
Emory & Henry Waspsaka Emory and Henry Wasps,#1B3D75
Emory Eagles,#002878
Emporia State Hornetsaka Emporia State Lady Hornets,#231F20
Endicott Gulls,#00325b
Erskine Flying Fleet,#9C1C1F
University of Evansville,#4C2683
FEU Tamarawsaka FEU-D Baby Tamaraws,#006400
FIU Panthersaka Florida International Golden Panthersaka Florida International Panthersaka FIU Golden Panthers,#081E3F
Fairfield Stags,#E0143E
Fairleigh Dickinson Knights,#B30838
Fayetteville State Broncosaka Fayetteville State Lady Broncos,#0067B1
Ferris State Bulldogs,#BA0C2F
Fiesta Bowl,#D91A32
Findlay Oilers,#000000
Finlandia Lions,#0060a9
Fitchburg State Falcons,#00563F
Flagler Saints,#A52238
Florida A&M Rattlersaka Florida A&M Lady Rattlers,#008344
Florida Atlantic Owlsaka FAU Owls,#003366
Florida,#003087
Florida Gulf Coast Eagles,#004785
Florida Southern Moccasins,#0060A9
Florida State,#782F40
Florida Tech Panthers,#770000
Fordham Rams,#700429
Fort Hays State Tigers,#000000
Fort Lewis Skyhawks,#000066
Fort Valley State Wildcats,#003087
Fort Wayne Mastodonsaka IPFW Mastodons,#003F87
Framingham State Rams,#EBAB00
Francis Marion Patriots,#193A80
Franklin Pierce Ravens,#A91938
Fresno Pacific Sunbirds,#001F55
