teams,colors,secondary
Charleston Southern Buccaneers,#002855,#A89968
Charlotte 49ers,#005035,#A49665
Chatham Cougars,#735990,#a5aaa8
Chattanooga Mocsaka Chattanooga Lady Mocs,#00386B,#E0AA0F
Chestnut Hill Griffins,#E4002B,#FED141
Cheyney Wolves,#0D3E70,#231F20
Chicago Maroons,#800000,transpa
Chicago State Cougars,#006666,#000000
Chico State Wildcats,#952945,#AAAAAB
Chowan Hawksaka Chowan Bravesaka Chowan Lady Braves,#003087,#041E42
Christian Brothers Buccaneers,#CC092F,#A49791
Christopher Newport Captains,#0039A6,#84888B
Cincinnati Bearcats,#E00122,#000000
Citadel Bulldogsaka The Citadel Bulldogs,#1F3A60,#3975B7
City College of New York Beaversaka New York College Beaversaka CCNY Beavers,#7d55c7,#595959
Claflin Panthers,#000000,#CC3727
Claremont McKenna Stags,#862633,#EAAA00
Clarion Golden Eagles,#003366,#97824A
Clark Atlanta Panthers,#CE1126,#000000
Clark Cougars,#cc0000,#939598
Clarke Prideaka Clarke Crusaders,#0C2340,#FFCD00
Clarks Summit Defendersaka Clarks Summit Lady Defendersaka Coastal Georgia Lady Mariners,#003DA5,#010101
Clarkson Golden Knights,#03522B,#FFD204
Clayton State Lakers,#092C74,#FC6719
Cleary Cougars,#9D2235,#0C2340
Clemson Tigersaka Clemson Lady Tigers,#F56600,#522D80
Cleveland State Vikings,#006A4D,#000000
Clinton Golden Bears,#010101,#9B2743
Coastal Carolina Chanticleers,#006F71,#A27752
Coastal Georgia Mariners,#0077C8,#003B5C
Coe Kohawks,#93282C,#CBA052
Coker Cobras,#002855,#FFC72C
Colby Mules,#002878,#E3D7D1
Colby–Sawyer Chargersaka Colby-Sawyer Chargers,#0085CA,#010101
Colgate Raidersaka Colgate Red Raiders,#821019,#000000
College Football Playoff,#000000,#C9920E
College of Charleston Cougarsaka Charleston Cougars,#76232F,#C5B783
Colonial Athletic Associationaka CAA,#002469,#BA9E66
Colorado A&M Aggies,#006A4D,#D9782D
Colorado Buffaloes,#000000,#CFB87C
Colorado Christian Cougars,#00416B,#FED925
Colorado College Tigers,#000000,#EFAB1E
Colorado Mesa Mavericks,#5D0022,#FED103
Colorado Mines Orediggers,#21314D,#B2B4B3
Colorado State Rams,#006A4D,#B3A369
Colorado–Colorado Springs Mountain Lionsaka UCCS Mountain Lions,#000000,#CFB87C
Columbia Cougars,#002855,#9EA2A2
Columbia Fighting Koalas,#582C83,#888B8D
Columbia Lions,#99CAEA,#183863
Columbus State Cougars,#003359,#C60C30
Concord Mountain Lionsaka Concord Lady Lions,#862633,#768692
Concordia Bulldogs,#002855,#898D8D
Concordia Cardinals,#C8102E,#010101
Concordia Cavaliers,#003E7E,transpa
Concordia Clippersaka Concordia Lady Clippers,#001489,#FFCD00
Concordia Cobbersaka Concordia Moorhead Cobbersaka Concordia (Moorhead) Cobbers,#7D0042,#FFCF46
Concordia Cougars,#9D2235,#FFC72C
Concordia Eagles,#215732,#FFCD00
Concordia Falconsaka Concordia Wisconsin Falcons,#005596,#faa634
Concordia Golden Bears,#002F65,#DEB407
Concordia Tornadosaka Concordia Stags,#582C83,#FED141
Conference USAaka C-USA,#003865,#A6192E
Connecticut College Camels,#002F5F,#9EC3DE
Connecticut Huskiesaka UConn Huskies,#000E2F,#E4002B
