teams,colors,secondary
Western Illinois Leathernecks,#663399,#FFCC00
Western Kentucky Hilltoppersaka Western Kentucky Lady Toppersaka WKU Hilltoppersaka WKU Lady Toppers,#B01E24,#000000
Western Michigan Broncos,#6C4023,#B5A167
Western Mustangsaka Western Ontario Mustangs,#512888,#63666A
Western New England Golden Bears,#003082,#e6b012
Western New Mexico Mustangs,#42196F,#FEBE10
Western Oregon Wolves,#E31837,#231F20
Western Washington Vikings,#0E2B58,#7898C9
Westfield State Owls,#00247d,#8e774d
Westminster Griffins,#380E56,#BC9B6B
Wichita State Shockersaka Fairmount Shockers,#27251F,#FFCD00
Widener Prideaka Widener Pioneers,#0057B8,#FFC845
Wilkes Colonels,#002855,#FFCD00
Willamette Bearcats,#98002E,#B39D6E
William & Mary Tribeaka William and Mary Tribeaka William and Mary Indiansaka William & Mary Indians,#115740,#F0B323
William Carey Crusaders,#D01144,#000000
William Jewell Cardinals,#CC0033,#231F20
William Smith Herons,#00593D,transpa
Williams Ephs,#512698,#FDCC09
Wilmington Quakers,#024E43,#7AB800
Windsor Lancers,#005596,#FFCE00
Winona State Warriors,#4B08A1,#FFCC33
Winston-Salem State Rams,#C8102E,#000000
Winthrop Eagles,#660000,#F0B323
Wisconsin Badgers,#C4012F,#000000
Wisconsin–Eau Claire Blugoldsaka Wisconsin-Eau Claire Blugoldsaka University of Wisconsin-Eau Claire Blugoldsaka University of Wisconsin–Eau Claire Blugoldsaka UW-Eau Claire Blugoldsaka UW–Eau Claire Blugolds,#2b3e85,transpa
Wisconsin–La Crosse Eaglesaka University of Wisconsin–La Crosse Eaglesaka University of Wisconsin-La Crosse Eaglesaka UW-La Crosse Eaglesaka Wisconsin-La Crosse Eaglesaka UW–La Crosse Eagles,#830019,#969799
Wisconsin–Oshkosh Titansaka Wisconsin-Oshkosh Titansaka University of Wisconsin-Oshkosh Titansaka University of Wisconsin–Oshkosh Titansaka UW–Oshkosh Titansaka UW-Oshkosh Titans,#000000,#FFFFFF
Wisconsin–Parkside Rangersaka Parkside Rangersaka Wisconsin-Parkside Rangers,#004631,#213629
Wisconsin–Platteville Pioneersaka University of Wisconsin–Platteville Pioneersaka University of Wisconsin-Platteville Pioneersaka UW-Platteville Pioneersaka Wisconsin-Platteville Pioneersaka UW–Platteville Pioneers,#ff5800,#0047ba
Wisconsin–River Falls Falconsaka UW-River Falls Falconsaka Wisconsin-River Falls Falconsaka University of Wisconsin-River Falls Falconsaka UW–River Falls Falconsaka University of Wisconsin–River Falls Falcons,#C80F2E,#000000
Wisconsin–Stevens Point Pointersaka UW–Stevens Point Pointersaka University of Wisconsin-Stevens Point Pointersaka UW-Stevens Point Pointersaka Wisconsin-Stevens Point Pointersaka University of Wisconsin–Stevens Point Pointers,#59178a,#fcc917
Wisconsin–Stout Blue Devilsaka UW-Stout Blue Devilsaka Wisconsin-Stout Blue Devilsaka University of Wisconsin–Stout Blue Devilsaka University of Wisconsin-Stout Blue Devilsaka UW–Stout Blue Devils,#012169,#000000
Wisconsin–Superior Yellowjacketsaka UW-Superior Yellowjacketsaka Wisconsin-Superior Yellowjacketsaka University of Wisconsin-Superior Yellowjacketsaka University of Wisconsin–Superior Yellowjacketsaka UW–Superior Yellowjackets,#000000,#FCD647
Wisconsin–Whitewater Warhawksaka Wisconsin-Whitewater Warhawks,#502D7F,#BABCBE
Wofford Terriers,#000000,#886E4C
Worcester State Lancers,#003896,#f0e07d
Wright State Raiders,#026937,#CEA052
Wyoming Cowboysaka Wyoming Cowgirls,#492F24,#FFC425
Xavier Musketeersaka Saint Xavier Saintsaka St. Xavier Saints,#0C2340,#9EA2A2
Yale Bulldogs,#00356B,transpa
York Panthers,#005EB8,#000000
Young Harris Mountain Lions,#260053,#C7C6C9
Youngstown State Penguins,#C8102E,#000000
